test,algorithm,vertices,edges,colors,time_seconds
test_01.in,backtracking,2,0,1,0.0019269000000576852
test_01.in,dsatur,2,0,1,0.0032324000000016895
test_01.in,rlf,2,0,1,0.0012924000000111846
test_02.in,backtracking,2,0,1,0.0009095000000343134
test_02.in,dsatur,2,0,1,0.0009833999999955267
test_02.in,rlf,2,0,1,0.001017199999978402
test_03.in,backtracking,2,0,1,0.000837199999978111
test_03.in,dsatur,2,0,1,0.0007147000000031767
test_03.in,rlf,2,0,1,0.000796599999944192
test_04.in,backtracking,2,1,2,0.0006852000000208136
test_04.in,dsatur,2,1,2,0.000672800000074858
test_04.in,rlf,2,1,2,0.0005945999999994456
test_05.in,backtracking,3,0,1,0.0005887999999458771
test_05.in,dsatur,3,0,1,0.0006925000000137516
test_05.in,rlf,3,0,1,0.0007739999999785141
test_06.in,backtracking,3,0,1,0.0006574000000227898
test_06.in,dsatur,3,0,1,0.0006455000000187283
test_06.in,rlf,3,0,1,0.000664300000039475
test_07.in,backtracking,3,1,2,0.0006296999999904074
test_07.in,dsatur,3,1,2,0.0005853999999771986
test_07.in,rlf,3,1,2,0.0005817999999635504
test_08.in,backtracking,3,3,3,0.0005880999999590131
test_08.in,dsatur,3,3,3,0.0006693999999924927
test_08.in,rlf,3,3,3,0.0005929000000151063
test_09.in,backtracking,5,2,2,0.0005585000000110085
test_09.in,dsatur,5,2,2,0.000604099999918617
test_09.in,rlf,5,2,2,0.0006452000000081171
test_10.in,backtracking,5,5,2,0.0007226999999829786
test_10.in,dsatur,5,5,2,0.000678098999969734
test_10.in,rlf,5,5,2,0.0009104999999181018
test_11.in,backtracking,5,8,4,0.0006399999999757711
test_11.in,dsatur,5,8,4,0.0006075999999666237
test_11.in,rlf,5,8,4,0.0005742999999256426
test_12.in,backtracking,6,3,2,0.00056100000006154
test_12.in,dsatur,6,3,2,0.0006948000000193133
test_12.in,rlf,6,3,2,0.0005802000000585394
test_13.in,backtracking,6,7,3,0.0005681000000095082
test_13.in,dsatur,6,7,3,0.0005712999999332169
test_13.in,rlf,6,7,3,0.0006121999999777472
test_14.in,backtracking,6,12,4,0.000555800000029194
test_14.in,dsatur,6,12,4,0.0005800000000135697
test_14.in,rlf,6,12,4,0.0006081000000222048
test_15.in,backtracking,7,4,2,0.0005770000000211439
test_15.in,dsatur,7,4,2,0.0005846999999903346
test_15.in,rlf,7,4,2,0.00059729999998126
test_16.in,backtracking,7,10,4,0.0007370999999238848
test_16.in,dsatur,7,10,4,0.0005840999999691121
test_16.in,rlf,7,10,4,0.0006535999999641717
test_17.in,backtracking,7,16,4,0.000610300000062125
test_17.in,dsatur,7,16,4,0.0006379999999808206
test_17.in,rlf,7,16,4,0.0005505999999968481
test_18.in,backtracking,4,1,2,0.000555299999973613
test_18.in,dsatur,4,1,2,0.000565899999969588
test_18.in,rlf,4,1,2,0.0005964000000631131
test_19.in,backtracking,4,2,2,0.0005457999999407548
test_19.in,dsatur,4,2,2,0.0005734999999731372
test_19.in,rlf,4,2,2,0.0005965999999943961
test_20.in,backtracking,4,3,2,0.0005977000000711996
test_20.in,dsatur,4,3,2,0.0005991000000449276
test_20.in,rlf,4,3,2,0.0008116999999856489
test_21.in,backtracking,4,4,3,0.0006055000000060318
test_21.in,dsatur,4,4,3,0.0006433999999444495
test_21.in,rlf,4,4,3,0.0005754000000024462
test_22.in,backtracking,8,5,3,0.0005637000000433545
test_22.in,dsatur,8,5,3,0.000646599999981845
test_22.in,rlf,8,5,3,0.000601999999958025
test_23.in,backtracking,8,11,3,0.0006458000000293396
test_23.in,dsatur,8,11,4,0.000600599999984297
test_23.in,rlf,8,11,4,0.0006141999999726977
test_24.in,backtracking,8,16,3,0.0006021000000373533
test_24.in,dsatur,8,16,3,0.0005838000000721877
test_24.in,rlf,8,16,3,0.0005896000000120694
test_25.in,backtracking,8,22,5,0.0006737000001066917
test_25.in,dsatur,8,22,5,0.000601999999958025
test_25.in,rlf,8,22,5,0.000664800000095056
test_26.in,backtracking,10,9,3,0.0007984000000078595
test_26.in,dsatur,10,9,3,0.0006813999999621956
test_26.in,rlf,10,9,3,0.0006521000000248023
test_27.in,backtracking,10,18,3,0.0006334000000833839
test_27.in,dsatur,10,18,3,0.0007031000000097265
test_27.in,rlf,10,18,4,0.000594699999965087
test_28.in,backtracking,10,27,5,0.0006087999998953819
test_28.in,dsatur,10,27,5,0.0006323000000065804
test_28.in,rlf,10,27,5,0.0005988000000343163
test_29.in,backtracking,10,36,6,0.0006219000000555752
test_29.in,dsatur,10,36,6,0.0006093990000408667
test_29.in,rlf,10,36,6,0.0005798999999342414
test_30.in,backtracking,12,13,3,0.0005588999999872613
test_30.in,dsatur,12,13,3,0.0005906000000095446
test_30.in,rlf,12,13,3,0.0005829000000403539
test_31.in,backtracking,12,26,4,0.0005439000000251326
test_31.in,dsatur,12,26,4,0.000641399999949499
test_31.in,rlf,12,26,4,0.0005717999999887979
test_32.in,backtracking,12,39,5,0.0006068000000141183
test_32.in,dsatur,12,39,5,0.0005972000000156186
test_32.in,rlf,12,39,5,0.00056690000008075
test_33.in,backtracking,12,52,6,0.0005804999999554639
test_33.in,dsatur,12,52,6,0.0006897000000662956
test_33.in,rlf,12,52,6,0.0005891000000701752
test_34.in,backtracking,15,21,3,0.0005712999999332169
test_34.in,dsatur,15,21,3,0.0006125000001020453
test_34.in,rlf,15,21,3,0.0006263999999873704
test_35.in,backtracking,15,42,4,0.0006588999999621592
test_35.in,dsatur,15,42,4,0.0007182000000511835
test_35.in,rlf,15,42,4,0.0006265999999186533
test_36.in,backtracking,15,63,6,0.0006710999999768319
test_36.in,dsatur,15,63,6,0.0006675999999288251
